﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Swiftyz,https://forums.hardwarezone.com.sg/members/swiftyz.503766/,Senior Member,"Aug 23, 2016","Hi,

If my gf and i apply, only her income is counted in as im still studying. My relative told me when collecting the keys, hdb will check our income/financial status again. If counting my future pay into account, definitely the grant will be lesser. So will our grant be changed?

Also, will the grant be immediately disimbursed to our cpf and it can immediately be used to pay the initial downpayment?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Aug 23, 2016","Swiftyz said:
Hi,

If my gf and i apply, only her income is counted in as im still studying. My relative told me when collecting the keys, hdb will check our income/financial status again. If counting my future pay into account, definitely the grant will be lesser. So will our grant be changed?

Also, will the grant be immediately disimbursed to our cpf and it can immediately be used to pay the initial downpayment?
Click to expand...

Your relative tiagong one??

But no, grant once given is final. Wont be deduct or change and grant can only apply and would be given before the 2nd appt which is the signing of lease agreement. After that, that is final.."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Swiftyz,https://forums.hardwarezone.com.sg/members/swiftyz.503766/,Senior Member,"Aug 23, 2016","Gixxerfied said:
Your relative tiagong one??

But no, grant once given is final. Wont be deduct or change and grant can only apply and would be given before the 2nd appt which is the signing of lease agreement. After that, that is final..

Maybe sia, trying to scare me or smth. thanks for clarifying!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Aug 24, 2016","Swiftyz said:
Maybe sia, trying to scare me or smth. thanks for clarifying!

Forgot to add can be applied only during selection"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,mero_cwj,https://forums.hardwarezone.com.sg/members/mero_cwj.260448/,Supremacy Member,"Aug 31, 2016","For the CPF Housing Grant for ECs, if at the point of signing the Sale and Purchase Agreement, the combined household income exceeds 12k and the couple is ineligible for the grant, but subsequently due to change of job, the combined household income is below 12k, is there a chance that the couple can still apply for and get the CPF Housing Grant retrospectively?

My gut feel is that it is not possible but thought I should ask in case anyone has experience with this!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Aug 31, 2016","I doubt so since the grant should be reimburse/settle before signing the sales of purchase agreement..

Works the same as ppl who applied for BTO/Sales of balance in which the grant would have to be settle and reimburse before signing of lease agreement can proceed. After that, they dont entertain grants anymore."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,chengp,https://forums.hardwarezone.com.sg/members/chengp.26862/,Member,"Sep 1, 2016","Hi all,

Can someone shed some light on the pros/cons of utilising hdb first timer grant for resale flat ?

Thanks."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Jan 7, 2016","phl6216 said:
Hi ALL Bros,

IM Sc , married, wife PR, 2 kids SC,

Both total income around 7.5 k per month..

Recently just booked a 5 room flat,
May i know am i entitle the AHG, IF yes how much is that ?
Click to expand...

AHG = Combined income of 5k and below to be eligible
SHG = Combined income of 8.5k and below and for 4rm and below in non-matured estates

In short, you're not eligible for any grants."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,phl6216,https://forums.hardwarezone.com.sg/members/phl6216.659617/,Junior Member,"Jan 7, 2016",Thanks you
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,madcampus,https://forums.hardwarezone.com.sg/members/madcampus.178420/,Arch-Supremacy Member,"Feb 2, 2016","Let's say combined income while submitting 1st HLE loan is less than 5k, will get AHG. Fast forward 3 years before collecting key combined income become 8k. Will the grant still be in force or forfeited?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Feb 3, 2016","madcampus said:
Let's say combined income while submitting 1st HLE loan is less than 5k, will get AHG. Fast forward 3 years before collecting key combined income become 8k. Will the grant still be in force or forfeited?

Grant will only be calculated once and reimburse before the 2nd appt which is the signing of lease agreement..After that, it's final..No more they take back becos u exceed few years down the road.."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,eagleboy,https://forums.hardwarezone.com.sg/members/eagleboy.342435/,Arch-Supremacy Member,"Feb 7, 2016","If we sell our house, we need to pay back those grants with interest to HDB?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,jarred1223,https://forums.hardwarezone.com.sg/members/jarred1223.262661/,Arch-Supremacy Member,"Mar 3, 2016","Gixxerfied said:
AHG = Combined income of 5k and below to be eligible
SHG = Combined income of 8.5k and below and for 4rm and below in non-matured estates

In short, you're not eligible for any grants.

Hi, want to learn more on the grants..

if my gf is currently working and income of 3k, but only working for about 4 months

if we apply non-mature estate do we still get AHG + SHG?

or is it apply to all grants that need a minimum reuired working experience of 1 year?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,harky,https://forums.hardwarezone.com.sg/members/harky.72498/,Great Supremacy Member,"Mar 5, 2016","go where to know how much will i need to pay monthly for single?
3rm flat btw"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,dilphinus,https://forums.hardwarezone.com.sg/members/dilphinus.87226/,High Supremacy Member,"Mar 10, 2016","harky said:
go where to know how much will i need to pay monthly for single?
3rm flat btw

how much you will need to pay monthly will depend greatly on the purchase price and loan you are taking."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,duckie_15,https://forums.hardwarezone.com.sg/members/duckie_15.655979/,Senior Member,"Apr 22, 2016","dilphinus said:
how much you will need to pay monthly will depend greatly on the purchase price and loan you are taking.

Yup, and the most cfp $$ you use... the less loan you take. There is a loan calculator in the hdb website. Go check it out."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,MisterAtoZ,https://forums.hardwarezone.com.sg/members/misteratoz.517508/,Junior Member,"Apr 29, 2016","eagleboy said:
If we sell our house, we need to pay back those grants with interest to HDB?

If you're talking about the CPF Housing Grant, after you sell away your house the grant will go back to your CPF. You'll only need to pay back to CPF the amount you've used (inclusive of grant) + accrued interest to pay off the HDB Loan (CPF Refund). HDB will impose a resale levy."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,t3ardr0ps13,https://forums.hardwarezone.com.sg/members/t3ardr0ps13.262170/,Junior Member,"May 9, 2016","hello all, I just purchased an EC and am in the midst of submitting relevant documents for grant assessment. in my payslip, it mentions 'commission' and my agent says that's a red flag for hdb and they will factor that into the income calculation. problem is if they do, I will then fall into a grant in the lower tier. however, in the beginning of the year, i sign a letter that says it's a bonus scheme, and not commission based scheme. will a letter issue from HR help my situation i.e such that hdb only assess the gross salary?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,new_bie,https://forums.hardwarezone.com.sg/members/new_bie.388477/,Senior Member,"May 10, 2016","if purchase of bto under staying near parent scheme ..
be it got grant or no grant, parent also before my bto mop cannot shift to a different estate or anywhere more than 2km of mine??"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,kosl123,https://forums.hardwarezone.com.sg/members/kosl123.455235/,Senior Member,"May 30, 2016","Hello all, I will like to find out if anybody succeeded in their AHG appeal? Didn't meet their 12 months continuous employment at the period of application. However, if HDB based it on flat selection date I might just be able to meet the 12 months requirement. Can I use this reason to appeal? Kindly advise"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,madcampus,https://forums.hardwarezone.com.sg/members/madcampus.178420/,Arch-Supremacy Member,"Jun 28, 2016","kosl123 said:
Hello all, I will like to find out if anybody succeeded in their AHG appeal? Didn't meet their 12 months continuous employment at the period of application. However, if HDB based it on flat selection date I might just be able to meet the 12 months requirement. Can I use this reason to appeal? Kindly advise

They based on 12 months before flat application. NOT selection."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,xcalible,https://forums.hardwarezone.com.sg/members/xcalible.175952/,Great Supremacy Member,"Jul 4, 2016","Hi all. I applied for a sobf may 2016

I'm SC. She foreigner. Have one SC child.
I'm also first timer. My hle indicated both of our incomes but she planning to resign soon to be full time mum

How much grant will I be entitled to and under which scheMe wiIl it be.

Thanks"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,zhudi87,https://forums.hardwarezone.com.sg/members/zhudi87.416852/,Junior Member,"Jul 13, 2016",just to check what's the different on the HLE (Credit Assessment for Loan Disbursement) & HLE only?
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Justin_ek9,https://forums.hardwarezone.com.sg/members/justin_ek9.676566/,Junior Member,"Jul 14, 2016","It doesnt matter if your wife resign or not. They based the income from may2015 to may2016 for your case. And depend on your household income for this period of time, the grant will be based on this.

FYI, i just applied. Very strict. Haha....$1 also count.

xcalible said:
Hi all. I applied for a sobf may 2016

I'm SC. She foreigner. Have one SC child.
I'm also first timer. My hle indicated both of our incomes but she planning to resign soon to be full time mum

How much grant will I be entitled to and under which scheMe wiIl it be.

Thanks
Click to expand..."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,chongpang,https://forums.hardwarezone.com.sg/members/chongpang.651784/,Senior Member,"Jul 15, 2016","zhudi87 said:
just to check what's the different on the HLE (Credit Assessment for Loan Disbursement) & HLE only?

BTO = HLE (Credit Assessment for Loan Disbursement)
Resale = HLE"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Leozoe,https://forums.hardwarezone.com.sg/members/leozoe.677356/,Junior Member,"Jul 19, 2016","kosl123 said:
Hello all, I will like to find out if anybody succeeded in their AHG appeal? Didn't meet their 12 months continuous employment at the period of application. However, if HDB based it on flat selection date I might just be able to meet the 12 months requirement. Can I use this reason to appeal? Kindly advise

I am in the same situation as you or maybe worse.
I applied for May 2016 BTO and got the que number.
I'm still studying but have continuous CPF contribution from parttime job.
However, according to HDB, as long as I am a student , My CPF contribution will not be counted.
My Gf strated working in Sept 2015 , so she is not considered 1 year continuous employment.
Did you manage to apply for AHG?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,pikmin23,https://forums.hardwarezone.com.sg/members/pikmin23.460542/,Member,"Jul 20, 2016","Need help in understanding AHG

Hello everyone,

My girlfriend and I are first timers in applying for HDB. My income is $2650 while hers is $2700.

Based on the link here: http://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/first-timer-applicants

I believe our average monthly household income should be calculated as such:

(2650+2700)/2=2675

This should place us in the 2500-3000 Average Monthly Household Income bracket which will allow us to receive $25 000.

However, I was shocked when HDB places us in the 4000 Average Monthly Household Income. when asked, HDB states that they calculate the AHG grant by looking at our combined income

I would like to ask forumers here if this is true? As the phrasing Average monthly household income does not suggest that the AHG is calculated by looking at combined incomes. The website also do not contain any examples to show how AHG is calculated.

thanks in advance for any kind soul who can enlighten on this issue"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,kingkongikiss,https://forums.hardwarezone.com.sg/members/kingkongikiss.413360/,Supremacy Member,"Jan 15, 2014","hi will like to ask if there any down payment for a new bto? what the total cost for first bto paper work everything + down payment, and when to pay?

also if someone remove name from a hdb flat as owner to buy a new bto hdb , will it count as first time or 2nd time? i have not buy any flat from hdb direct..."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,vuzuuu,https://forums.hardwarezone.com.sg/members/vuzuuu.204288/,Senior Member,"Mar 12, 2014","Hi, wondering how much subsidy would I be benefited from the G if I alone purchasing HDB 3rooms flat?? Thanks."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,newcastlefan,https://forums.hardwarezone.com.sg/members/newcastlefan.219138/,Member,"May 19, 2014","Hi Guys,

Need some help on what are grant i can get if i apply for a BTO flat?

Btw, my wife is a PR and our combine income is less then $5k."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Mr.Canberra,https://forums.hardwarezone.com.sg/members/mr-canberra.624901/,Supremacy Member,"May 22, 2014","CPF Housing Grants

Let's say I'm eligible for the following grants as per HDB's terms and conditions.

• Additional CPF Housing Grant (Singles) S$20,000
• Special CPF Housing Grant (Singles) S$10,000

I'll not be taking any HDB or Bank Loan for my BTO 2 Room Flat. I know I can use cold hard cash to pay for downpayment (10%) during Signing Sales Agreement and balance payment (90%) during Collection of keys. I'll use cash to pay for Stamp duty and Legal fees as well.

Will HDB allow me not to exercise the usage of the grants and be kept in my CPF Ordinary Account along with my existing CPF funds?

My logic is I do not wish to pay the accrued compounded interest (doesn't make sense) to my own CPF Account should I need to sell the flat in the future.

Use of Grant

The AHG can only be used as capital payment towards the purchase of the new flat or to reduce the mortgage loan. You can use the grant to make the initial payment towards the purchase. The balance, if any, must be used to reduce the mortgage loan before a housing loan from the HDB is granted.

Benefits of AHG
AHG helps to reduce the loan required
No need to use cash to pay the monthly instalment

If you are buying the flat with a bank loan, the AHG will be treated as part of your CPF money. It can only be used to pay the CPF portion of the initial payment towards the purchase of the flat or to reduce the mortgage loan. It will be included in the computation of the CPF withdrawal limit. The Grant cannot be used to pay the monthly instalments.
Click to expand...

Use of Grant

The SHG can only be used as capital payment towards the purchase of the new flat or to reduce the mortgage loan. You can use the grant to make the initial payment towards the purchase. The balance, if any, must be used to reduce the mortgage loan before a housing loan from HDB is granted.

Thanks in advance for any feedback and comments!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,deathdeath89,https://forums.hardwarezone.com.sg/members/deathdeath89.541411/,Junior Member,"Nov 8, 2014",My gf worked for 2 year. But change of job last July with a 2 Weeks break but have continuous cpf contributionfor a year. I on the other hand just started work for 1 month. Or gross monthly combined now is above 5k. But average out over 1 year is less then 5. Still can get grant?
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,cybernator85,https://forums.hardwarezone.com.sg/members/cybernator85.555677/,Junior Member,"Dec 1, 2014","Looking for Professional ID?

A big HELLO to my fellow people here,

My name is William, and I am a Design Consultant.

I have been in this trade for quite some time and would like to share with you on the works and designs that we have done for many of our clients.

Do contact me at 81254584 if you or your friends/relatives are currently looking for interior designers for your home and you will not be disappointed.

Making each home special, for each special person...

Thank you and have a good day!

William Ngoh"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,noel13,https://forums.hardwarezone.com.sg/members/noel13.447446/,Senior Member,"Dec 29, 2014","vuzuuu said:
Hi, wondering how much subsidy would I be benefited from the G if I alone purchasing HDB 3rooms flat?? Thanks.

Assuming you are more than 35.

You will have a single grant of $15k."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Swordsman,https://forums.hardwarezone.com.sg/members/swordsman.73316/,Greater Supremacy Member,"Jan 23, 2015",not much grant for single bto buyer ?
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,cool_ocean11,https://forums.hardwarezone.com.sg/members/cool_ocean11.158000/,Member,"Jun 11, 2015","Hi all,

My wife and I are first timers and will be planning to apply for a BTO flat. Regarding to the live near parent scheme/MCPS, both parents and married couple hv to live in the same estate/town or within 2km distance. However the flat that i will be applying is around 2.8km using the distance enquiry in the hdb website.

My question is can we still fall under the MCPS when we apply so that we can be given higher priority than other married couple but not MCPS? Do hdb allow me to appeal since the our living distance is different of ard 0.8km only?

** I understand that the $40k stay near parent is for resale flats only and does not apply for BTO**

Anyone in a similar situation as us?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,eagleboy,https://forums.hardwarezone.com.sg/members/eagleboy.342435/,Arch-Supremacy Member,"Jul 8, 2015","cool_ocean11 said:
Hi all,

My wife and I are first timers and will be planning to apply for a BTO flat. Regarding to the live near parent scheme/MCPS, both parents and married couple hv to live in the same estate/town or within 2km distance. However the flat that i will be applying is around 2.8km using the distance enquiry in the hdb website.

My question is can we still fall under the MCPS when we apply so that we can be given higher priority than other married couple but not MCPS? Do hdb allow me to appeal since the our living distance is different of ard 0.8km only?

** I understand that the $40k stay near parent is for resale flats only and does not apply for BTO**

Anyone in a similar situation as us?
Click to expand...


i think either 2km or within the town. The grant is applicable for non mature estate."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,ussr_1991,https://forums.hardwarezone.com.sg/members/ussr_1991.252264/,Master Member,"Aug 18, 2015","Hi all, need to ask 3 qn.


1) If my mum as a second timer jointly buy a flat with me (single < 30 yr old) now, will I be later considered as first timer by the time I reach 35 if I have transferred my co-applicant status to my mum after the 5 year MOP (by clearing all the outstanding mortgage etc)


2) If I am NOT considered as first timer then, what if I get married (she is a first timer) under the first-second timer couple? Do I still enjoy the grant, or half grant for my spouse?

3) Supposedly, by 35 and I am still single and decides to get a 2 room BTO, will I be eligible to buy a flat from HDB again by the time I get married, for example 50. Do I need to transfer away the ownership to an eligible family member or simply sell it to open market in such instance?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,AnnieQuek,https://forums.hardwarezone.com.sg/members/anniequek.660517/,Junior Member,"Oct 2, 2015","Buyers who have exceeded the income ceiling, how likely will they be able to be successful in appealing for a CPF grant? Considering that government have just increased the ceiling."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Oct 2, 2015","AnnieQuek said:
Buyers who have exceeded the income ceiling, how likely will they be able to be successful in appealing for a CPF grant? Considering that government have just increased the ceiling.

Their decision is usually as it is. If they mention backdated to a certain launch(for example revised shg announced in aug 2013 and backdated to July 2013), they will strictly follow that.

Since they mention the latest changes to start from nov launch, it is as it is..so any application before start launch can just actually forget about the grant.."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,SecretAgent,https://forums.hardwarezone.com.sg/members/secretagent.78037/,Great Supremacy Member,"Oct 2, 2015","I think my agent hao siao me for CPF housing/proximity grant for resale...

Me: SC
Wife: foreigner.. most the time overseas... no PR/wp etc..
Child: SC

if I apply with my Child who is also a SC... that means SC/SC to secure the full 30+20k grant right?

He told me that I will only gets half... the other half 25k I will get when my wife gets a SC.

Or I divorce and apply it directly with my child.

Got such cases?I read thru the grant criteria and no such things.."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,zhenyuan_2000,https://forums.hardwarezone.com.sg/members/zhenyuan_2000.255388/,Senior Member,"Oct 12, 2015","AnnieQuek said:
Buyers who have exceeded the income ceiling, how likely will they be able to be successful in appealing for a CPF grant? Considering that government have just increased the ceiling.

Hi all,
I am a single 35yo, singapore citizen. Want to buy a resale near parent place
I have a question, if my income is just slightly above 6k (6.1k). Can I still appy for the housing grant?

Just hope that someone knows and can advise me ...
thanks"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,sasori_12345,https://forums.hardwarezone.com.sg/members/sasori_12345.336688/,Member,"Oct 16, 2015","How does the disbursement of resale HDB grant work ?

1) Offset against the initial down payment of flat

Or

2) Monthly reduction in mortgage payment over the loan period ?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,TyCoGOd_RaiNy,https://forums.hardwarezone.com.sg/members/tycogod_rainy.113526/,Member,"Nov 25, 2015","How and who do I go about to appeal for the AHG/SHG? Is it possible? Or do we need to find MP?

My spouse has a 1 mth break in between the 12 months of employment due to changing of job and I just started working. We need the grant to help us with the down payment."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,tellyphone,https://forums.hardwarezone.com.sg/members/tellyphone.478703/,Senior Member,"Dec 15, 2015","zhenyuan_2000 said:
Hi all,
I am a single 35yo, singapore citizen. Want to buy a resale near parent place
I have a question, if my income is just slightly above 6k (6.1k). Can I still appy for the housing grant?

Just hope that someone knows and can advise me ...
thanks


No worries, can appeal one. Should be no problem"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,phl6216,https://forums.hardwarezone.com.sg/members/phl6216.659617/,Junior Member,"Jan 7, 2016","Hi ALL Bros,

IM Sc , married, wife PR, 2 kids SC,

Both total income around 7.5 k per month..

Recently just booked a 5 room flat,
May i know am i entitle the AHG, IF yes how much is that ?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Ah fai,https://forums.hardwarezone.com.sg/members/ah-fai.666556/,Junior Member,"Jan 7, 2016","Hi all,my wife and me had just apply for nov bto,both of us are 1st timer but this will be my 2nd loan from hdb as my dad had add my name to his resell flats to help payment,may I know what will happen if I take up another loan,what is the procedure?and when will I receive the loan?thanks"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,jtec14,https://forums.hardwarezone.com.sg/members/jtec14.60742/,Supremacy Member,"Nov 29, 2012","Myst90 said:
Pardon my stupid qns but is the resales levy the interest that u guys mention?

I am not talking about that.
I talking about those 1st timer grant/near parents/AHG, when you sell your property, the principal + accrued int of the grants will be refunded back to your CPF."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Myst90,https://forums.hardwarezone.com.sg/members/myst90.390387/,Member,"Nov 30, 2012","jtec14 said:
I am not talking about that.
I talking about those 1st timer grant/near parents/AHG, when you sell your property, the principal + accrued int of the grants will be refunded back to your CPF.

Ooo. Ok.. thanks for the info.."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Stephanieseow,https://forums.hardwarezone.com.sg/members/stephanieseow.568514/,Junior Member,"Dec 4, 2012","CPF grant

Hi, would like to check if anyone know that if during the 12mths contribution to cpf if one of the month didn't' contribute they also won't grant me the cpf grant? Thanks"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Myst90,https://forums.hardwarezone.com.sg/members/myst90.390387/,Member,"Dec 13, 2012","suryach78 said:
ya SC/SPR household is eligible too for AHG, subject to meeting other T&C

Hmmm. Care to share wad other terms and condition are there? Is it different from the general terms and condition for ahg?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Kamen_Rider,https://forums.hardwarezone.com.sg/members/kamen_rider.327877/,Senior Member,"Jan 5, 2013","Hi,

I have a few questions. I am heading down to HDB and select my flat unit soon. Me and my gf are currently working as our new job which starts this month (we are working now). We are looking to apply for the AHG which stats that we must have at least one who worked for 1 year continuous.

My question is, does the 1 year needs to be the period of 1 year before date of selection or can it be any period as long as me/her worked for 1 year? So if it is the initial then will we be able to apply for AHG still? Because I personally quit my job which lasted for 8 months and started on my current business.

Thanks in advance!"
